Name,Updated Name,Link,Scientific Name,Status in Britain,Population Size In Breeding Season,Population Number,2 letter code,long code,Image Url,2nd Image,,habitat.Broad-leaved Woodland,habitat.Coniferous Woodland,habitat.Scrub & Bushy Commons,habitat.Heath & Dry Grassland,habitat.Open Upland Moor,habitat.Pasture & Grazed Fields,habitat.Arable Farmland,habitat.Marsh and Wet Grassland,habitat.Boggy Moorland,habitat.Reed Swamp & Fen,habitat.Open Coastal Habitat,habitat.Villages & Rural Areas,habitat.Towns & Cities,habitat.Lakes & Large Waterbodies,habitat.Ponds & Small Waterbodies,habitat.Rivers (2m wide or more),habitat.Streams (less than 2m),habitat.Coastal Estuaries,habitat.Rocky and Sandy Shoreline,eurobirdLink,foundIn
Starling,Common Starling,http://app.bto.org/birdfacts/results/bob15820.htm,Sturnus vulgaris,"Resident Breeder, Passage/Winter Visitor",1.8 million Pairs,"1,800,000",SG,STARL,https://images.unsplash.com/photo-1558629879-4f39aea797f9?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2092&q=80,https://images.unsplash.com/photo-1557153251-b6e012302051?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2072&q=80,,25,5,20,15,5,40,30,15,10,25,20,70,100,,,,,,,https://eurobirdportal.org/ebp/en/#home/STUVUL/p52weeks,"Farmland, woodland, towns"
Meadow Pipit,,http://app.bto.org/birdfacts/results/bob10110.htm,Anthus pratensis,"Migrant/Resident Breeder, Passage/Winter Visitor",1.9 million Pairs,"1,900,000",MP,MEAPI,,,,5,20,20,65,90,15,5,75,95,30,50,5,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANTPRA/p52weeks,"Open grassland, tundra, dunes"
Collared Dove,Eurasian Collared Dove,http://app.bto.org/birdfacts/results/bob6840.htm,Streptopelia decaocto,Resident Breeder,"500,000 - 1 million Pairs","2,000,000",CD,COLDO,,,,20,1,20,10,1,25,25,5,1,5,5,80,100,,,,,,,https://eurobirdportal.org/ebp/en/#home/STRDEC/p52weeks,"Open woodland, scrub, gardens"
House Martin,Common House Martin,http://app.bto.org/birdfacts/results/bob10010.htm,Delichon urbicum,"Migrant Breeder, Passage Visitor","500,000 - 1 million Pairs","2,000,000",HM,HOUMA,,,,15,10,15,10,10,40,20,5,5,15,5,100,40,,,,,,,https://eurobirdportal.org/ebp/en/#home/DELURB/p52weeks,"Open country, towns"
Rook,,http://app.bto.org/birdfacts/results/bob15630.htm,Corvus frugilegus,"Resident Breeder, Winter Visitor","500,000 - 1 million Pairs","2,000,000",RO,ROOK.,,,,50,15,35,35,25,85,55,30,20,55,30,85,40,,,,,,,,"Pasture, farmland, open woodland"
Fulmar,Northern Fulmar,http://app.bto.org/birdfacts/results/bob220.htm,Fulmarus glacialis,"Migrant/Resident Breeder, Passage Visitor","500,000 - 1 million Pairs","2,000,000",F.,FULMA,,,,,,,,,,,,,,,,,,,,,,,,"Pelagic, breeds on seacliffs and rocky islands"
Puffin,Atlantic Puffin,http://app.bto.org/birdfacts/results/bob6540.htm,Fratercula arctica,"Migrant/Resident Breeder, Passage/Winter Visitor","500,000 - 1 million Pairs","2,000,000",PU,PUFFI,,,,,,,,,,,,,,,,,,,,,,,,"Coasts & islands, otherwise pelagic"
Guillemot,Common Guillemot ,http://app.bto.org/birdfacts/results/bob6340.htm,Uria aalge,"Migrant/Resident Breeder, Winter Visitor","500,000 - 1 million Pairs","2,000,000",GU,GUILL,,,,,,,,,,,,,,,,,,,,,,,,"Coastal cliffs, otherwise pelagic"
Rock Dove,Feral Pigeon,http://app.bto.org/birdfacts/results/bob6650.htm,Columba livia,Resident Breeder,"500,000 - 1 million Pairs","2,000,000",DV,ROCDO,,,,,,,,,,,,,,,,,,,,,,,,"Cliffs, caves & eaves"
Willow Warbler,,http://app.bto.org/birdfacts/results/bob13120.htm,Phylloscopus trochilus,"Migrant Breeder, Passage Visitor",2.2 million Territories,"2,200,000",WW,WILWA,,,,45,80,95,40,25,40,20,35,20,60,20,30,15,,,,,,,https://eurobirdportal.org/ebp/en/#home/PHYLUS/p52weeks,"Open woodland, scrub, shrubby tundra"
Dunnock,,http://app.bto.org/birdfacts/results/bob10840.htm,Prunella modularis,"Resident Breeder, Passage/Winter Visitor",2.3 million Territories,"2,300,000",D.,DUNNO,,,,60,40,70,30,10,70,70,25,5,40,40,100,80,,,,,,,,"Scrub, undergrowth, towns"
Goldfinch,European Goldfinch,http://app.bto.org/birdfacts/results/bob16530.htm,Carduelis carduelis,Migrant/Resident Breeder,1.2 million Pairs,"2,400,000",GO,GOLDF,https://images.unsplash.com/photo-1621807147195-580cddd8f758?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2002&q=80,,,35,10,40,20,5,60,45,20,5,70,25,100,55,,,,,,,,"Woodland, farmland, open country"
Great Tit,,http://app.bto.org/birdfacts/results/bob14640.htm,Parus major,"Resident Breeder, Winter Visitor",2.5 million Territories,"2,500,000",GT,GRETI,https://images.unsplash.com/photo-1612089089032-7bac3a75feee?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1480&q=80,,,100,50,65,30,10,65,50,20,5,45,10,80,65,,,,,,,,"Forest, woodland, towns, mangrove"
Jackdaw,Eurasian Jackdaw,http://app.bto.org/birdfacts/results/bob15600.htm,Coloeus monedula,"Resident Breeder, Winter Visitor",1.3 million Pairs,"2,600,000",JD,JACKD,https://images.unsplash.com/photo-1627244039947-9efa989b3c1b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1974&q=80,,,55,15,30,25,15,60,35,20,15,15,50,100,55,,,,,,,,"Open woodland, farmland, towns"
Blue Tit,,http://app.bto.org/birdfacts/results/bob14620.htm,Cyanistes caeruleus,"Resident Breeder, Winter Visitor",3.4 million Territories,"3,400,000",BT,BLUTI,https://images.unsplash.com/photo-1605207209834-6b6d592283f8?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2160&q=80,https://images.unsplash.com/photo-1586763039611-d2751595af10?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,100,45,65,30,10,70,60,25,5,55,20,85,85,,,,,,,https://eurobirdportal.org/ebp/en/#home/CYACAE/p52weeks,"Woodland, scrub, towns"
Pheasant,Common Pheasant,http://app.bto.org/birdfacts/results/bob3940.htm,Phasianus colchicus,Introduced Breeder,4 million Birds,"4,000,000",PH,PHEAS,https://images.unsplash.com/photo-1612100033757-e13d5f9b249e?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,85,35,55,30,15,60,100,30,1,65,15,55,10,,,,,,,,"Farmland, scrub, wood"
Blackbird,Common Blackbird,http://app.bto.org/birdfacts/results/bob11870.htm,Turdus merula,"Migrant/Resident Breeder, Passage/Winter Visitor",4.9 million Pairs,"4,900,000",B.,BLABI,,,,85,50,70,35,15,75,70,30,10,55,30,95,100,,,,,,,,"Woodland, scrub, towns"
Chaffinch,,http://app.bto.org/birdfacts/results/bob16360.htm,Fringilla coelebs,"Resident Breeder, Passage/Winter Visitor",5.8 million Territories,"5,800,000",CH,CHAFF,https://images.unsplash.com/photo-1636315197022-a97ac4338e64?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2071&q=80,,,90,95,85,40,25,80,75,30,15,55,20,85,55,,,,,,,https://eurobirdportal.org/ebp/en/#home/FRICOE/p52weeks,"Forest, woodland, farmland"
Robin,European Robin,http://app.bto.org/birdfacts/results/bob10990.htm,Erithacus rubecula,"Migrant/Resident Breeder, Passage/Winter Visitor",6 million Territories,"6,000,000",R.,ROBIN,https://images.unsplash.com/photo-1594225714708-9e072d8935cc?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,100,90,80,35,15,75,55,30,15,35,15,85,70,,,,,,,,"Forest, woodland, towns"
Wren,Winter Wren,http://app.bto.org/birdfacts/results/bob10660.htm,Troglodytes troglodytes,"Resident Breeder, Passage/Winter Visitor",7.7 million Territories,"7,700,000",WR,WREN.,,,,100,90,90,50,30,80,65,45,25,65,35,85,70,,,,,,,,"Forest, woodland, undergrowth"
House Sparrow,,http://app.bto.org/birdfacts/results/bob15910.htm,Passer domesticus,Resident Breeder,5.1 million Pairs,"10,200,000",HS,HOUSP,https://images.unsplash.com/photo-1526356378313-2fd2b55eb865?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2071&q=80,,,20,5,15,10,1,35,30,5,1,15,10,75,100,,,,,,,https://eurobirdportal.org/ebp/en/#home/PASDOM/p52weeks,Near man
